ID,listing_date,type,category,selling_price_per_meter_usd,selling_price_per_meter_iqdr,rent_price_iqdr,Bedrooms,bathrooms,balcony,master bedroom,sqmt_living,floors,condition,furnished,year_built,area_type,floor_apartment,neighbourhood,county,street,view,wajiha,sqmt_street,rent_price_usd
80,7/18/2024,apartment,rent,,,1350000,2,1,,,100,1,good,fully,1 - 5,suburb,2,,mansour,,,,,
81,7/16/2024,apartment,rent,,,"1,450,000",2,1,1,,100,1,new,no,2023,suburb,1,almutanabi,mansour,,,,,
82,7/16/2024,apartment,rent,,,"1,885,000",2,1,,,110,1,good,fully,1 - 5 ,suburb,1,dawoodi,mansour,,,,,
83,7/14/2024,apartment,rent,,,"1,740,000",2,1,,,100,1,lickable,fully,1 - 5,suburb,1,,mansour,,,,,
84,7/14/2024,apartment,rent,,,"2,320,000",2,1,,,100,1,new,fully,2023,suburb,2,almutanabi,mansour,,,,,
85,7/13/2024,apartment,rent,,,"1,200,000",2,1,,,160,1,good,no,1 - 5,suburb,2,dawoodi,mansour,الشارع التانكي السايدين,,,20,
86,7/13/2024,apartment,rent,,,"1,015,000",2,1,,,120,1,,half,1 - 5,suburb,2,,mansour,,,,,700
87,8/1/2024,apartment,rent,,,,2,1,,,100,1,good,fully,1 - 5,suburb,1,,mansour,,,,,1300
88,7/11/2024,apartment,rent,,,"2,250,000",3,2,,,200,1,new,half,2023,suburb,1,dawoodi,mansour,,,,,
89,7/11/2024,apartment,rent,,,"1,800,000",2,2,,,100,1,lickable,fully,2023,suburb,0,daragh,mansour,,,,,
90,7/9/2024,apartment,rent,,,"2,175,000",3,2,1,,200,1,new,half,2023,suburb,1,dawoodi,mansour,,شمالية,,,
91,7/9/2024,apartment,rent,,,2175000,2,1,1,,100,1,lickable,fully,2023,suburb,1,,mansour,,,,,
92,7/9/2024,apartment,rent,,,"1,000,000",2,1,,,150,1,new,no,2023,suburb,0,,mansour,,شمالية,,,
93,7/8/2024,apartment,rent,,,"900,000",2,1,1,,110,1,new,no,2023,suburb,2,,mansour,,,,,
94,7/6/2024,apartment,rent,,,"1,800,000",2,1,,,100,1,new,fully,1 - 5 ,suburb,0,,mansour,,شمالية,,,
95,7/5/2024,apartment,rent,,,"1,450,000",3,2,1,,187,1,lickable,half,2023,urban,7,mansour city,mansour,,شمالية,,,
96,7/5/2024,apartment,rent,,,"850,000",1,1,1,,80,1,,fully,6 - 9 ,suburb,1,,mansour,,,,,
97,7/2/2024,apartment,rent,,,"1,160,000",2,1,,,200,1,,no,1 - 5 ,suburb,2,,mansour,,,,,
98,6/26/2024,apartment,rent,,,"650,000",4,1,,,160,`,,no,20 + years,suburb,1,,mansour,,,,,
99,6/26/2024,apartment,rent,,,"1,200,000",1,1,,,108,1,new,no,1 - 5,suburb,,,mansour,,neighbourhood,,,
100,6/25/2024,apartment,rent,,,,2,1,,,100,1,new,fully,1 - 5,suburb,1,,mansour,,غربية,,,1200
101,6/24/2024,apartment,rent,,,"800,000",1,2,,,50,1,new,no,1 - 5 ,suburb,3,dawoodi,mansour,,,,,
102,6/24/2024,apartment,rent,,,"1,000,000",2,1,,,150,1,,,,suburb,,beiji,mansour,,,,,
103,6/21/2024,apartment,rent,,,"1,305,000",2,1,,,120,1,,,,suburb,,,mansour,,,,,900
104,6/14/2024,apartment,rent,,,"1,200,000",2,2,,,125,1,new,no,2023,suburb,1,dawoodi,mansour,,شمالية,,,
105,6/12/2024,apartment,rent,,,"1,000,000",2,1,,,123,1,new,2,2023,suburb,,daragh,mansour,,,,,
106,6/12/2024,apartment,rent,,,,2,1,,,1001,1,new,,2023,suburb,1,mohandeseen,mansour,,شمالية,,,1300
107,8/20/2024,apartment,rent,,,"1,800,000",3,1,,,200,1,lickable,no,2023,suburb,0,beiji,mansour,,shamalya,,,
108,8/20/2024,apartment,rent,,,"1,305,000",1,1,1,,70,1,,fully,2023,suburb,1,mutanabi,mansour,,,,,
109,8/19/2024,apartment,rent,,,"1,100,000",2,1,,,120,1,average,no,1 - 5,suburb,1,dawoodi 611,mansour,,shamalya gharbiya,,,
110,8/18/2024,apartment,rent,,,"900,000",2,2,1,,100,1,,no,2023,suburb,2,,mansour,,shamalya  ,,,
111,8/17/2024,apartment,rent,,,"1,950,000",3,2,1,,150,1,lickable,half,1 - 5,suburb,1,mutanabi,mansour,,shamalya ,,,
112,8/17/2024,apartment,rent,,,"1,450,000",3,1,,,180,1,new,no,1 - 5 ,suburb,2,dawoodi,mansour,,,,,
113,8/17/2024,apartment,rent,,,"1,000,000",2,1,2,,100,1,good,no,6 - 9 ,suburb,1,,mansour,,,,,
114,8/17/2024,apartment,rent,,,"1,100,000",1,1,,,50,1,,no,1 - 5 ,suburb,0,,mansour,,sharqiya,,,
,8/15/2024,apartment,rent,,,"1,800,000",2,2,,,100,1,good,fully,1 - 5,suburb,1,daragh ,mansour,,,,,
,8/14/2024,apartment,rent,,,"1,800,000",3,1,,,200,1,lickable,no,2023,suburb,1,beiji,mansour,,shamaliya,,,
,8/14/2024,apartment,rent,,,"1,000,000",2,1,,,200,1,new,no,1 - 5 ,suburb,1,arabi,mansour,,shamaliye,,,
,8/8/2024,apartment,rent,,,"850,000",2,1,,,100,1,good,half,1 - 5 ,suburb,2,dawoodi,mansour,,shamaliye ,,,
,8/8/2024,apartment,rent,,,"1,450,000",2,2,,,100,1,lickable,fully,1 - 5,suburb,1,daragh ,mansour,,,,,
,9/10/2024,apartment,rent,,,"1,350,000",3,1,,,200,1,lickable,no,2023,suburb,1,beiji,mansour,,shamaliye,,,
